,Make,Engine Capacity(CC),Mileage(miles),Year,Price
0,Honda,1500.0,25706.747594050743,2017,3150000.0
1,Toyota,1600.0,1528.5731329038415,2021,3575000.0
2,Toyota,1000.0,41631.86987990137,2014,1955000.0
3,Daihatsu,660.0,39767.75630318937,2013,1450000.0
4,Toyota,2700.0,39767.75630318937,2016,19000000.0
5,Range,4200.0,86991.96691322674,2009,8000000.0
6,Toyota,1000.0,14291.537421458681,2019,2650000.0
7,Suzuki,1000.0,54059.29372464805,2006,750000.0
8,Mercedes,2600.0,104390.3602958721,2005,3100000.0
9,Honda,1800.0,51573.80895569872,2018,3650000.0
10,Honda,1500.0,25476.218881730692,2018,3100000.0
11,Suzuki,800.0,34796.7867652907,2016,798000.0
12,Toyota,1800.0,26718.96126620536,2017,3500000.0
13,Suzuki,1400.0,58408.89207030939,2017,2080000.0
14,Toyota,1300.0,124274.23844746679,2007,1200000.0
15,Toyota,1300.0,31068.559611866698,2019,3250000.0
16,Toyota,1000.0,82642.36856756541,1999,1175000.0
17,Toyota,1300.0,69320.79157718921,2013,1600000.0
18,Daihatsu,660.0,86991.96691322674,2006,1050000.0
19,Toyota,1800.0,15534.279805933349,2017,3550000.0
20,Honda,1800.0,59651.634454784056,2007,1700000.0
21,Toyota,4600.0,42253.241072138706,2016,27500000.0
22,Toyota,1300.0,83885.11095204008,2011,1700000.0
23,BMW,2000.0,55923.40730136005,2001,2550000.0
24,Suzuki,1000.0,83885.11095204008,2007,869999.9999999999
25,Suzuki,1000.0,89166.76608605743,2008,830000.0000000001
26,Suzuki,800.0,3541.8157957528033,2007,670000.0
27,Daihatsu,660.0,74564.54306848007,2008,1050000.0
28,Honda,1800.0,17087.707786526684,2017,3595000.0000000005
29,Toyota,1600.0,9320.567883560008,2021,3680000.0
30,Suzuki,1000.0,93205.67883560009,2007,620000.0
31,Suzuki,1000.0,71457.6871072934,2011,910000.0
32,Toyota,1300.0,60894.37683925872,2012,1900000.0
33,Suzuki,1000.0,62137.119223733396,2008,775000.0
34,Suzuki,1000.0,49709.69537898671,2012,1065000.0
35,Toyota,1000.0,94448.42122007476,2006,1600000.0
36,Suzuki,1000.0,53679.63592619104,2006,819999.9999999999
37,Daihatsu,660.0,41631.86987990137,2013,1350000.0
38,Toyota,1800.0,31689.93080410403,2019,3950000.0
39,Toyota,1300.0,48466.952994512045,2006,1600000.0
40,Toyota,1800.0,19883.878151594687,2019,3925000.0
41,Honda,1500.0,31068.559611866698,2016,2650000.0
42,Honda,1500.0,62137.119223733396,2016,4300000.0
43,Toyota,2400.0,68350.83114610674,2010,3725000.0
44,Honda,1300.0,73943.17187624273,2014,2090000.0
45,Honda,1500.0,47224.21061003738,2016,3350000.0
46,Suzuki,1000.0,42253.241072138706,2018,1550000.0
47,Toyota,1000.0,36255.76632466396,2018,2820000.0
48,Toyota,1000.0,49709.69537898671,2012,1795000.0
49,Honda,1800.0,31317.10808876163,2015,2525000.0
50,Toyota,1300.0,9320.567883560008,2019,3250000.0
51,Toyota,1600.0,1528.5731329038415,2021,3575000.0
52,Toyota,1300.0,124274.23844746679,1990,675000.0
53,Toyota,1000.0,41631.86987990137,2014,1955000.0
54,Toyota,4600.0,18019.764574882684,2016,33300000.0
55,Honda,1800.0,50331.06657122405,2012,2235000.0
56,Suzuki,660.0,6.2137119223733395,2021,1664999.9999999998
57,Toyota,1600.0,62137.119223733396,2017,2810000.0
58,Suzuki,1000.0,59030.26326254672,2012,770000.0
59,Daihatsu,660.0,8699.196691322675,2012,1050000.0
60,Suzuki,1000.0,54680.664916885384,2015,1150000.0
61,Honda,1600.0,93205.67883560009,2003,1220000.0
62,Honda,1800.0,48466.952994512045,2011,2250000.0
63,Suzuki,800.0,27961.703650680025,2017,950000.0
64,Toyota,2700.0,13658.360176568836,2017,25000000.0
65,Toyota,1500.0,4163.186987990137,2021,3225000.0
66,Honda,1800.0,86991.96691322674,2013,2400000.0
67,Toyota,1000.0,37903.64272647737,2015,2295000.0
68,Suzuki,1300.0,69593.5735305814,2010,1145000.0
69,Daihatsu,660.0,31689.93080410403,2018,2165000.0
70,Honda,1800.0,60273.00564702139,2012,2550000.0
71,Toyota,1800.0,48466.952994512045,2016,4750000.0
72,Suzuki,1000.0,50331.06657122405,2016,1225000.0
73,Toyota,1500.0,54680.664916885384,2011,3200000.0
74,Toyota,1800.0,99419.39075797342,2007,2300000.0
75,Honda,1800.0,40389.12749542671,2019,3900000.0
76,Toyota,1300.0,21747.991728306686,2020,2650000.0
77,KIA,2000.0,22369.362920544023,2020,5075000.0
78,Suzuki,1300.0,65865.3463771574,2006,1075000.0
79,Toyota,1800.0,83885.11095204008,2013,2925000.0
80,Hyundai,2500.0,27.961703650680025,2021,8150000.0
81,MG,1500.0,21.126620536069353,2021,6490000.000000001
82,Toyota,1800.0,65243.97518492006,2014,3450000.0
83,Suzuki,800.0,8.699196691322674,2012,650000.0
84,Honda,1300.0,11992.464010180545,2013,2080000.0
85,Suzuki,1000.0,52816.551340173384,2016,1200000.0
86,Honda,1500.0,107358.0291099976,2005,1400000.0
87,Toyota,4700.0,101904.87552692277,1999,5400000.0
88,Toyota,2000.0,113089.55698719478,2001,980000.0
89,Toyota,1800.0,9.32056788356001,2021,4500000.0
90,Toyota,1800.0,51884.494551817384,2015,2800000.0
91,Honda,1600.0,62137.119223733396,2002,1200000.0
